Nome,Preço,Marca,Categoria,Preço_02-05-2025,Preço_10-04-2025,Preço_13-04-2025,Preço_24-04-2025,Preço_30-04-2025
Abóbora Caipira KG,"R$ 9,99",Hortifrut,Legumes,"R$ 9,99","R$ 7,99","R$ 9,99","R$ 9,99","R$ 9,99"
Abóbora Cambotiá Pedaço KG,"R$ 4,09",Pague Menos,Legumes,"R$ 4,09","R$ 4,09","R$ 2,29","R$ 2,29","R$ 4,09"
Abóbora Madura KG,"R$ 5,79",Pague Menos,Legumes,"R$ 5,79","R$ 5,79","R$ 5,79","R$ 3,99","R$ 5,79"
Abóbora Madura Pedaço KG,"R$ 6,69",Pague Menos,Legumes,"R$ 6,69","R$ 6,69","R$ 6,69","R$ 4,29","R$ 6,69"
Abóbora Moranga Grano Congelada 500g,"R$ 10,79",Grano,Legumes Congelados,"R$ 10,79","R$ 10,79","R$ 10,79","R$ 10,79","R$ 10,79"
Abóbora Moranga KG,"R$ 3,99",Pague Menos,Legumes,"R$ 3,99","R$ 3,99","R$ 3,99","R$ 3,99","R$ 3,99"
Abóbora Paulista 700g,"R$ 4,99",Pague Menos,Legumes,"R$ 4,99","R$ 4,99","R$ 4,99","R$ 4,99","R$ 4,99"
Acelga Mendonça Unidade,"R$ 6,99",Mendonca,Verduras,"R$ 6,99","R$ 6,99","R$ 6,99","R$ 6,99","R$ 6,99"
Acelga Natural Salads Higienizado 150g,"R$ 8,99",Natural Salads,Verduras,"R$ 8,99","R$ 8,99","R$ 8,99","R$ 8,99","R$ 8,99"
Acendedor Bic EZ Reach,"R$ 16,99",Bic,Utensílios Para Churrasco,"R$ 16,99","R$ 16,99","R$ 16,99","R$ 16,99","R$ 16,99"
Acendedor Bic Mega Lighter,"R$ 31,99",Bic,Utensílios Para Churrasco,"R$ 31,99","R$ 31,99","R$ 31,99","R$ 31,99","R$ 31,99"
Acendedor Elétrico Original Para Fogão,"R$ 14,99",Original,Tabacaria,"R$ 14,99","R$ 14,99","R$ 14,99","R$ 14,99","R$ 14,99"
Acendedor Fiat Lux Bastão,"R$ 13,99",Fiat Lux,Acessórios Para Churrasco,"R$ 13,99","R$ 13,99","R$ 13,99","R$ 13,99","R$ 13,99"
Acendedor Multiuso Bic Handy Unidade,"R$ 28,99",Bic,Utensílios Para Churrasco,"R$ 28,99","R$ 28,99","R$ 28,99","R$ 28,99","R$ 28,99"
Acendedor Paraná 2 Em 1 Com 5 Unidades,"R$ 8,99",Parana,Utensílios Para Churrasco,"R$ 8,99","R$ 9,99","R$ 9,99","R$ 9,99","R$ 8,99"
Acendedor Prime Grill Sólido Ecológico Com 8,"R$ 25,99",Prime Grill,Utensílios Para Churrasco,"R$ 25,99","R$ 25,99","R$ 25,99","R$ 25,99","R$ 25,99"
Acendedor Prime Grill Álcool Em Gel 430g,"R$ 12,99",Prime Grill,Utensílios Para Churrasco,"R$ 12,99","R$ 12,99","R$ 12,99","R$ 12,99","R$ 12,99"
Acendedor Álcool Em Gel Zulu 500g,"R$ 17,99",Zulu,Casa,"R$ 17,99","R$ 16,99","R$ 16,99","R$ 17,99","R$ 17,99"
"Acerola Congelada Nuty 1,02kg","R$ 21,99",Nuty,Frutas Congeladas,"R$ 21,99","R$ 25,99","R$ 25,99","R$ 25,99","R$ 21,99"
Aceto Balsâmico Sedna 500ml,"R$ 26,99",Sedna,Temperos E Condimentos,"R$ 26,99","R$ 26,99","R$ 26,99","R$ 28,99","R$ 26,99"
"Achocolatado 3 Corações Chocolate Quente 1,1kg","R$ 119,90",3 Corações,Bebidas matinais,"R$ 119,90","R$ 119,90","R$ 119,90","R$ 119,90","R$ 119,90"
Achocolatado 3 Corações Chocolate Quente Cremoso 180g,"R$ 15,90",3 Corações,Bebidas matinais,"R$ 15,90","R$ 19,89","R$ 19,89","R$ 19,89","R$ 15,90"
Achocolatado 3 Corações Chocolate Quente Cremoso 360g,,3 Corações,Bebidas matinais,,,,,
Achocolatado Chocolatto 300g,"R$ 8,49",Chocolatto,Bebidas matinais,"R$ 8,49","R$ 8,49","R$ 8,49","R$ 8,49","R$ 8,49"
Achocolatado Chocolatto 370g,"R$ 7,99",Chocolatto,Bebidas matinais,"R$ 7,99","R$ 10,29","R$ 10,29","R$ 10,29","R$ 7,99"
Achocolatado Chocolatto 560g,"R$ 11,95",Chocolatto,Bebidas matinais,"R$ 11,95","R$ 14,99","R$ 14,99","R$ 14,99","R$ 11,95"
Achocolatado Chocolatto 700g,"R$ 14,90",Chocolatto,Bebidas matinais,"R$ 14,90","R$ 18,99","R$ 18,99","R$ 18,99","R$ 14,90"
Achocolatado Em Pó Italac 400g,"R$ 6,99",Italac,Bebidas matinais,"R$ 6,99","R$ 6,99","R$ 6,99","R$ 6,99","R$ 6,99"
Achocolatado Em Pó Magro Light 300g,"R$ 15,99",Magro,Bebidas matinais,"R$ 15,99","R$ 14,99","R$ 14,99","R$ 16,99","R$ 15,99"
Achocolatado Em Pó Native 400g,"R$ 23,49",Native,Bebidas matinais,"R$ 23,49","R$ 23,49","R$ 23,49","R$ 23,49","R$ 23,49"
"Achocolatado Em Pó Nescau 1,02kg","R$ 27,99",Nescau,Bebidas matinais,"R$ 27,99","R$ 24,99","R$ 24,99","R$ 17,49","R$ 27,99"
Achocolatado Em Pó Nescau 30% Cacau 180g,"R$ 18,99",Nescau,Bebidas matinais,"R$ 18,99","R$ 18,99","R$ 18,99","R$ 13,29","R$ 18,99"
Achocolatado Em Pó Nescau 33% Menos Açúcares 350g,"R$ 14,99",Nescau,Bebidas matinais,"R$ 14,99","R$ 14,99","R$ 14,99","R$ 10,49","R$ 14,99"
Achocolatado Em Pó Nescau 60% Cacau 180g,"R$ 18,99",Nescau,Bebidas matinais,"R$ 18,99","R$ 18,99","R$ 18,99","R$ 13,29","R$ 18,99"
