Nome,Preço,Marca,Categoria
"Morango Congelado Nuty 1,02kg","R$ 25,99",Nuty,Frutas Congeladas
"Acerola Congelada Nuty 1,02kg","R$ 25,99",Nuty,Frutas Congeladas
"Framboesa Congelada Nuty 1,02kg","R$ 89,90",Nuty,Frutas Congeladas
"Frutas Vermelhas Congeladas Nuty 1,02kg","R$ 54,99",Nuty,Frutas Congeladas
"Abacaxi Congelado Nuty 1,02kg","R$ 34,99",Nuty,Frutas Congeladas
"Morango Congelado Nossa Fruta 1,02kg",0,Nossa Fruta,Frutas Congeladas
Gelo Em Cubos Gelo & Gelo 5kg,"R$ 11,99",Gelo & Gelo,Gelo
Gelo Para Drink Coco Leve Maracujá 190g,"R$ 3,29",Coco Leve,Gelo
Forma de Gelo Sanremo Plástico,"R$ 14,89",Sanremo,Gelo
Gelo Ice Boss 160g,"R$ 3,29",Coco Leve,Gelo
Leite Integral Longa Vida Italac 1l,"R$ 5,35",Italac,Leite
Leite Longa Vida Piracanjuba Integral 1l,"R$ 4,49",Piracanjuba,Leite
Leite Integral Longa Vida Ninho Tradicional 1l,"R$ 6,89",Ninho,Leite
Leite Longa Vida Shefa Integral 1l,"R$ 5,49",Shefa,Leite
Leite Longa Vida Italac Semidesnatado 1l,"R$ 4,99",Italac,Leite
Leite Longa Vida Piracanjuba Semidesnatado 1l,"R$ 4,49",Piracanjuba,Leite
Leite Longa Vida Desnatado Italac 1l,"R$ 4,99",Italac,Leite
Leite Longa Vida Piracanjuba Desnatado 1l,"R$ 4,49",Piracanjuba,Leite
Leite Longa Vida Jussara Integral 1l,"R$ 5,69",Jussara,Leite
Leite Semidesnatado Italac Zero Lactose 1l,"R$ 5,98",Italac,Leite
Leite Longa Vida Ninho Levinho Semidesnatado 1l,"R$ 6,55",Ninho,Leite
Leite Longa Vida Shefa Semidesnatado 1l,"R$ 5,15",Shefa,Leite
Leite Semidesnatado Longa Vida Shefa Zero Lactose 1l,"R$ 5,49",Shefa,Leite
Leite Longa Vida Molico Desnatado 1l,"R$ 6,55",Molico,Leite
Leite Longa Vida Shefa Desnatado 1l,"R$ 5,15",Shefa,Leite
Leite Integral Longa Vida Nolac Zero Lactose 1l,"R$ 6,79",Itambé,Leite
Leite Integral Longa Vida Parmalat 1l,"R$ 5,29",Parmalat,Leite
Leite Pasteurizado Integral Xandô Tipo A 1l,"R$ 8,69",Xando,Leite
Leite Longa Vida Nolac Semidesnatado Zero Lactose 1l,"R$ 5,99",Itambé,Leite
Leite Integral Pasteurizado Tipo A Rico 1l,"R$ 7,29",Rico,Leite
Leite Em Pó Ninho Integral 380g,"R$ 20,89",Ninho,Leite
Leite Longa Vida Nolac Desnatado Zero Lactose 1l,"R$ 5,99",Itambé,Leite
Leite Em Pó Ninho Integral 10% Grátis 380g,"R$ 18,80",Ninho,Leite
Leite Longa Vida Ninho Integral Sem Estabilizantes 1l,"R$ 7,29",Ninho,Leite
Leite Pasteurizado Semidesnatado Xandô Tipo A Sem Lactose 1l,"R$ 8,69",Xando,Leite
Leite Longa Vida Parmalat Semidesnatado 1l,"R$ 4,95",Parmalat,Leite
Leite Integral Tipo A Letti 1l,"R$ 8,99",Letti,Leite
Leite Itambé Integral 1l,"R$ 5,15",Itambé,Leite
Leite Longa Vida Jussara Semidesnatado 1l,"R$ 4,99",Jussara,Leite
Leite Pasteurizado Integral Serramar Tipo B 1l,"R$ 5,39",Serramar,Leite
Leite Desnatado Longa Vida Parmalat 1l,"R$ 4,95",Parmalat,Leite
Leite Em Pó Integral Itambé 400g,"R$ 17,89",Itambé,Leite
Leite Em Pó Italac 400g,"R$ 18,99",Italac,Leite
Leite Longa Vida Jussara Desnatado 1l,"R$ 4,99",Jussara,Leite
Leite Longa Vida Quatá Integral 1l,"R$ 5,39",Quata,Leite
Leite Em Pó Instantâneo Itambé 400g,"R$ 17,89",Itambé,Leite
Leite Pasteurizado Semidesnatado Xandô Tipo A Magro 1l,"R$ 8,59",Xando,Leite
Leite Em Pó Desnatado Molico 280g,"R$ 24,89",Molico,Leite
Bebida Vegetal Not Milk Chocolate 200ml,"R$ 3,99",Not Milk,Leite
Leite Desnatado Batavo Zero Lactose Pense Zero 1l,"R$ 5,99",Batavo,Leite
Café 3 Corações Tradicional 500g,"R$ 32,99",3 Corações,Café
Café Melitta Tradicional A Vácuo 500g,"R$ 37,99",Melitta,Café
Café Canecão Tradicional 500g,"R$ 34,99",Canecao,Café
Café Caboclo Tradicional A Vácuo 500g,"R$ 28,90",Caboclo,Café
Café Pilão Tradicional A Vácuo 500g,"R$ 35,99",Pilao,Café
Cápsula Nescafé Dolce Gusto Espresso Com 10 Unidades,"R$ 24,99",Dolce Gusto,Café
Café Canecão Extra Forte A Vácuo 500g,"R$ 34,99",Canecao,Café
Café Brasileiro Tradicional 500g,"R$ 28,79",Brasileiro,Café
Café Melitta Extra Forte A Vácuo 500g,"R$ 37,99",Melitta,Café
Café 3 Corações Extra Forte 500g,"R$ 32,99",3 Corações,Café
Café Pilão Tradicional 500g,"R$ 35,99",Pilao,Café
Café Melitta Tradicional 500g,"R$ 37,99",Melitta,Café
Café Cassiano Tradicional 500g,"R$ 32,99",Cassiano,Café
Café Melitta Extra Forte 500g,"R$ 37,99",Melitta,Café
Café Caboclo Extra Forte A Vácuo 500g,"R$ 28,90",Caboclo,Café
Café Moraes A Vácuo 500g,"R$ 29,99",Moraes,Café
Cápsula Nescafé Dolce Gusto Espresso Intenso Com 10 Unidades,"R$ 24,99",Dolce Gusto,Café
Café Moraes Tradicional 500g,"R$ 29,99",Moraes,Café
Café Pelé Extra Forte A Vácuo 500g,"R$ 28,49",Pele,Café
Cápsula TRES Cappuccino Classic Com 10 Unidades,"R$ 23,99",TRES,Café
Cápsula Nescafé Dolce Gusto Mochaccino Canela Com 10 Unidades,"R$ 24,99",Dolce Gusto,Café
Café Brasileiro Extra Forte 500g,"R$ 28,79",Brasileiro,Café
Cápsula Nescafé Dolce Gusto Caffè Matinal Com 10 Unidades,"R$ 24,99",Dolce Gusto,Café
Cápsula Pilão Espresso Extraforte Com 10 Unidades,"R$ 16,99",Pilao,Café
Café Canecão Extra Forte 500g,"R$ 34,99",Canecao,Café
Cápsula TRES Espresso Vibrante Com 10 Unidades,"R$ 23,99",TRES,Café
Café Caboclo Extra Forte 500g,"R$ 28,90",Caboclo,Café
Café Solúvel Nescafé Matinal Suave 40g,"R$ 6,79",Nescafé,Café
Cápsula TRES Espresso Supremo Com 10 Unidades,"R$ 23,99",TRES,Café
Cápsula L'Or Espresso Sontuoso Com 10 Unidades,"R$ 27,99",L'Or,Café
Café Melitta Sabor da Fazenda 500g,"R$ 39,99",Melitta,Café
Café 3 Corações Descafeinado A Vácuo 250g,"R$ 30,99",3 Corações,Café
Café União Tradicional 500g,"R$ 30,98",Uniao,Café
Cápsula Pilão Espresso Fortissimo Com 10 Unidades,"R$ 16,99",Pilao,Café
